codice_regione;regione;codice_azienda_sanitaria_asl;azienda_sanitaria_ASL ;codice_struttura;denominazione_struttura;indirizzo_struttura;latitudine;longitudine;tipo_apparecchiatura;cod_classificazione_cnd;descrizione_cnd;num_apparecchiature;num_app_disponibili;caratteristiche
120;LAZIO;109;VITERBO;120002;OSPEDALE DI ACQUAPENDENTE;VIA C. BATTISTI - 01021 - Acquapendente (VT);42.7455504;11.8656636;RMN;Z11050101;TOMOGRAFI SETTORIALI (PER ESAMI TOMOGRAFICI DELLE ESTREMITA');1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120002;OSPEDALE DI ACQUAPENDENTE;VIA C. BATTISTI - 01021 - Acquapendente (VT);42.7455504;11.8656636;TAC;Z11030605;TOMOGRAFI COMPUTERIZZATI - SUPERIORE O UGUALE A 64 STRATI ED INFERIORE A 128 STRATI;1;1;0 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120003;OSPEDALE DI CIVITACASTELLANA;VIA FERRETTI - 01033 - Civita Castellana (VT);42.2893857;12.4170362;MMI;Z11030202;MAMMOGRAFI DIGITALI;1;1; 
120;LAZIO;109;VITERBO;120003;OSPEDALE DI CIVITACASTELLANA;VIA FERRETTI - 01033 - Civita Castellana (VT);42.2893857;12.4170362;TAC;Z11030605;TOMOGRAFI COMPUTERIZZATI - SUPERIORE O UGUALE A 64 STRATI ED INFERIORE A 128 STRATI;1;1;0 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120007;OSPEDALE DI TARQUINIA;VIALE IGEA,1 - 01016 - Tarquinia (VT);42.2495568;11.7572358;MMI;Z11030202;MAMMOGRAFI DIGITALI;1;1; 
120;LAZIO;109;VITERBO;120007;OSPEDALE DI TARQUINIA;VIALE IGEA,1 - 01016 - Tarquinia (VT);42.2495568;11.7572358;RMN;Z11050101;TOMOGRAFI SETTORIALI (PER ESAMI TOMOGRAFICI DELLE ESTREMITA');1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120007;OSPEDALE DI TARQUINIA;VIALE IGEA,1 - 01016 - Tarquinia (VT);42.2495568;11.7572358;TAC;Z11030606;TOMOGRAFI ASSIALI COMPUTERIZZATI - SUPERIORE O UGUALE A 128 STRATI ED INFERIORE A 256 STRATI ;1;1;0 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120014;NUOVA  S.TERESA DEL BAMBIN GESU`;strada prov Tuscanese Km 1,7 - 01100 - Viterbo (VT);42.4300606;12.0799363;MMI;Z11030202;MAMMOGRAFI DIGITALI;1;1; 
120;LAZIO;109;VITERBO;120014;NUOVA  S.TERESA DEL BAMBIN GESU`;strada prov Tuscanese Km 1,7 - 01100 - Viterbo (VT);42.4300606;12.0799363;RMN;Z11050101;TOMOGRAFI SETTORIALI (PER ESAMI TOMOGRAFICI DELLE ESTREMITA');1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120014;NUOVA  S.TERESA DEL BAMBIN GESU`;strada prov Tuscanese Km 1,7 - 01100 - Viterbo (VT);42.4300606;12.0799363;RMN;Z11050105;TOMOGRAFI A MAGNETE CHIUSO CON INTENSITA' DI CAMPO SUPERIORE A 2T E INFERIORE O UGUALE A 4T;1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120014;NUOVA  S.TERESA DEL BAMBIN GESU`;strada prov Tuscanese Km 1,7 - 01100 - Viterbo (VT);42.4300606;12.0799363;TAC;Z11030605;TOMOGRAFI ASSIALI COMPUTERIZZATI - SUPERIORE O UGUALE A 64 STRATI ED INFERIORE A 128 STRATI ;1;1;1 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120014;NUOVA  S.TERESA DEL BAMBIN GESU`;strada prov Tuscanese Km 1,7 - 01100 - Viterbo (VT);42.4300606;12.0799363;TAC;Z11030606;TOMOGRAFI COMPUTERIZZATI - SUPERIORE O UGUALE A 128 STRATI ED INFERIORE A 256 STRATI;1;1;0 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;ACC;Z11010103;ACCELERATORI LINEARI AD ENERGIA ALTA E MULTIPLA;2;2; 
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;ANG;Z11030102;ANGIOGRAFI FISSI PER STUDI ANGIOGRAFICI E CARDIOLOGICI;3;3; 
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;GTT;Z11020201;SISTEMI TC/GAMMA CAMERA;1;1; 
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;MMI;Z11030202;MAMMOGRAFI DIGITALI;5;5; 
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;RMN;Z11050101;TOMOGRAFI SETTORIALI (PER ESAMI TOMOGRAFICI DELLE ESTREMITA');1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;RMN;Z11050104;TOMOGRAFI A MAGNETE CHIUSO CON INTENSITA' DI CAMPO INFERIORE O UGUALE A 2T;1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;RMN;Z11050105;TOMOGRAFI A MAGNETE CHIUSO CON INTENSITA' DI CAMPO SUPERIORE A 2T E INFERIORE O UGUALE A 4T;1;1;0 con tavolo portapaziente HIFU
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;TAC;Z11030603;TOMOGRAFI ASSIALI COMPUTERIZZATI - SUPERIORE O UGUALE A 16 STRATI ED INFERIORE A 64 STRATI;1;1;0 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120271;OSPEDALE SANTA ROSA;Strada Sammartinese, snc - 01100 - Viterbo (VT);42.4058025;12.1172257;TAC;Z11030606;TOMOGRAFI ASSIALI COMPUTERIZZATI - SUPERIORE O UGUALE A 128 STRATI ED INFERIORE A 256 STRATI ;2;2;0 con tavolo portapaziente bariatrico
120;LAZIO;109;VITERBO;120306;AMBULATORIO E LABORATORIO Casa di Cura Nepi srl;via cassia km 37 - 01036 - Nepi (VT);42.2422404;12.3417748;MMI;Z11030202;MAMMOGRAFI DIGITALI;1;1; 
