REGIONE,ASL,ANNO,PERIODO_DI_RIFERIMENTO,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,EROGAZIONI,EROGAZIONI_DAGARANTIRE,EROGAZIONI_DAGARANTIRE_B,EROGAZIONI_DAGARANTIRE_B_TMAX,EROGAZIONI_DAGARANTIRE_D,EROGAZIONI_DAGARANTIRE_D_TMAX,EROGAZIONI_DAGARANTIRE_P,EROGAZIONI_DAGARANTIRE_P_TMAX
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,1,Prima Visita cardiologica,89.7,8915,2862,1359,660,1193,620,277,277
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,2,Prima Visita chirurgia vascolare,89.7,1655,493,263,110,230,117,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,3,Prima Visita endocrinologica,89.7,5849,1589,825,361,760,376,3,2
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,4,Prima Visita neurologica,89.13.00,6394,1958,1035,490,820,446,102,102
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,5,Prima Visita oculistica,95.02.00,10431,3405,1035,608,1559,1010,755,747
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,6,Prima Visita ortopedica,89.7,6976,2102,1084,457,1014,525,1,1
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,7,Prima Visita ginecologica,89.26.00,5670,665,358,231,252,131,54,54
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,8,Prima Visita otorinolaringoiatrica,89.7,7926,2676,1334,573,1339,741,1,1
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,9,Prima Visita urologica,89.7,3874,1156,556,248,599,272,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,10,Prima Visita dermatologica,89.7,8651,3049,1338,659,1504,729,191,190
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,11,Prima Visita fisiatrica,89.7,13157,6805,2206,2099,2043,1982,2446,2446
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,12,Prima Visita gastroenterologica,89.7,2308,599,320,126,278,126,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,13,Prima Visita oncologica,89.7,3139,386,261,231,125,120,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,14,Prima Visita pneumologica,89.7,4025,1005,504,239,424,234,74,74
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,15,Mammografia bilaterale,87.37.01,6061,1909,257,210,461,398,1161,1161
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,16,Mammografia monolaterale,87.37.02,80,14,6,6,2,2,5,5
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,17,TC del Torace,87.41.00,1888,634,274,146,215,173,127,127
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,18,TC del Torace senza e con MDC,87.41.01,3135,1226,497,281,341,272,323,323
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,19,TC dell’addome superiore,88.01.01,40,20,8,2,5,4,7,7
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,20,TC dell’addome superiore senza e con MDC,88.01.02,464,184,76,43,40,31,59,59
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,21,TC dell’addome inferiore,88.01.03,36,21,8,3,5,5,7,7
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,22,TC dell’addome inferiore senza e con MDC,88.01.04,460,183,78,43,44,35,53,53
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,23,TC dell’addome completo,88.01.05,441,156,68,46,52,44,26,26
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,24,TC dell’addome completo senza e con MDC,88.01.06,3264,1360,566,326,352,299,343,343
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,25,TC Cranio - encefalo,87.03.00,814,366,162,85,99,78,93,93
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,26,TC Cranio - encefalo senza e con MDC,87.03.01,1465,588,234,131,148,119,168,168
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,27,TC del rachide e dello speco vertebrale cervicale,88.38.01,384,155,78,37,34,28,41,41
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,28,TC del rachide e dello speco vertebrale toracico,88.38.01,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,29,TC del rachide e dello speco vertebrale lombosacrale,88.38.01,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,30,TC del rachide e dello speco vertebrale cervicale senza e con MDC,88.38.02,76,16,7,3,7,1,2,2
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,31,TC del rachide e dello speco vertebrale toracico senza e con MDC,88.38.02,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,32,TC del rachide e dello speco vertebrale lombosacrale senza e con MDC,88.38.02,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,33,TC di Bacino e articolazioni sacroiliache,88.38.05,55,29,8,4,5,3,14,14
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",89.31.01,1007,593,181,138,154,138,226,226
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",89.31.02,1661,651,253,130,152,111,193,193
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,36,RM di addome inferiore e scavo pelvico,89.35.04,127,62,21,12,22,15,14,14
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,37,RM di addome inferiore e scavo pelvico senza e con MDC,89.35.05,972,363,171,97,76,44,94,94
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,38,RM della colonna in toto,89.33.00,4264,2751,745,568,644,544,1263,1263
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,39,RM della colonna in toto senza e con MDC,89.33.01,1072,413,169,77,89,61,124,124
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,40,Diagnostica ecografica del capo e del collo,89.11.04,4566,1718,668,331,771,479,269,268
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,41,Eco (color) dopplergrafia cardiaca,89.12.03,2680,875,335,173,347,241,191,191
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,42,Eco (color) dopplergrafia dei tronchi sovra aortici,89.13.05,5797,2381,739,380,1127,810,507,504
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,43,Ecografia dell’addome superiore,89.14.01,3094,1253,470,247,523,380,244,244
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,44,Ecografia dell’addome inferiore,89.15.01,1095,429,198,98,181,123,49,49
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,45,Ecografia dell’addome completo,89.16.01,7973,3815,1413,885,1353,1060,996,996
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,46,Ecografia bilaterale della mammella,89.13.01,7659,2225,369,275,577,473,1246,1246
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,47,Ecografia monolaterale della mammella,89.13.02,74,16,5,4,3,2,7,7
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,48,Ecografia ostetrica,89.18.00,3392,141,89,47,52,50,,
