ASL,ANNO,SETTIMANA_INDICE,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,PRENOTAZIONI,PRENOTAZIONI_DAGARANTIRE,PRENOTAZIONI_DAGARANTIRE_B,PRENOTAZIONI_DAGARANTIRE_B_TMAX,PRENOTAZIONI_DAGARANTIRE_D,PRENOTAZIONI_DAGARANTIRE_D_TMAX,PRENOTAZIONI_DAGARANTIRE_P,PRENOTAZIONI_DAGARANTIRE_P_TMAX
160114,2021,12-16 LUGLIO 2021,1,"Prima Visita cardiologica",89.7,2242,1717,575,126,513,110,524,501
160114,2021,12-16 LUGLIO 2021,2,"Prima Visita chirurgia vascolare",89.7,236,172,67,41,31,28,41,41
160114,2021,12-16 LUGLIO 2021,3,"Prima Visita endocrinologica",89.7,1253,943,299,64,268,74,316,267
160114,2021,12-16 LUGLIO 2021,4,"Prima Visita neurologica",89.13,1384,1050,388,59,260,55,341,328
160114,2021,12-16 LUGLIO 2021,5,"Prima Visita oculistica",95.02,2885,1995,399,90,567,182,988,970
160114,2021,12-16 LUGLIO 2021,6,"Prima Visita ortopedica",89.7,1926,1558,535,117,483,99,492,486
160114,2021,12-16 LUGLIO 2021,7,"Prima Visita ginecologica",89.26,574,395,85,30,113,43,186,176
160114,2021,12-16 LUGLIO 2021,8,"Prima Visita otorinolaringoiatrica",89.7,2473,1729,531,133,388,278,730,730
160114,2021,12-16 LUGLIO 2021,9,"Prima Visita urologica",89.7,1034,773,250,55,194,59,285,283
160114,2021,12-16 LUGLIO 2021,10,"Prima Visita dermatologica",89.7,1656,1334,451,83,420,82,369,347
160114,2021,12-16 LUGLIO 2021,11,"Prima Visita fisiatrica",89.7,2255,1908,565,524,528,503,787,786
160114,2021,12-16 LUGLIO 2021,12,"Prima Visita gastroenterologica",89.7,233,209,66,16,63,14,62,38
160114,2021,12-16 LUGLIO 2021,13,"Prima Visita oncologica",89.7,158,140,46,46,12,12,71,71
160114,2021,12-16 LUGLIO 2021,14,"Prima Visita pneumologica",89.7,850,641,215,84,167,76,224,222
160114,2021,12-16 LUGLIO 2021,15,"Mammografia bilaterale",87.37.1,1555,1325,114,39,282,253,898,838
160114,2021,12-16 LUGLIO 2021,16,"Mammografia monolaterale",87.37.2,23,7,,,1,1,5,4
160114,2021,12-16 LUGLIO 2021,17,"TC del Torace",87.41,607,525,179,77,127,109,192,187
160114,2021,12-16 LUGLIO 2021,18,"TC del Torace senza e con MDC",87.41.1,879,738,225,81,183,126,250,219
160114,2021,12-16 LUGLIO 2021,19,"TC dell'addome superiore",88.01.1,20,18,7,2,3,3,8,8
160114,2021,12-16 LUGLIO 2021,20,"TC dell'addome superiore senza e con MDC",88.01.2,152,130,30,11,49,30,36,33
160114,2021,12-16 LUGLIO 2021,21,"TC dell'addome inferiore",88.01.3,19,17,6,1,3,3,8,8
160114,2021,12-16 LUGLIO 2021,22,"TC dell'addome inferiore senza e con MDC",88.01.4,142,122,31,11,43,24,35,33
160114,2021,12-16 LUGLIO 2021,23,"TC dell'addome completo",88.01.5,125,105,40,21,27,24,30,30
160114,2021,12-16 LUGLIO 2021,24,"TC dell'addome completo senza e con MDC",88.01.6,899,781,250,94,174,131,264,236
160114,2021,12-16 LUGLIO 2021,25,"TC Cranio - encefalo",87.03,298,263,86,50,62,51,102,102
160114,2021,12-16 LUGLIO 2021,26,"TC Cranio - encefalo senza e con MDC",87.03.1,436,374,111,36,88,63,125,114
160114,2021,12-16 LUGLIO 2021,27,"TC del rachide e dello speco vertebrale cervicale",88.38.1,38,34,8,6,11,11,14,14
160114,2021,12-16 LUGLIO 2021,28,"TC del rachide e dello speco vertebrale toracico",88.38.1,28,25,7,5,9,9,8,8
160114,2021,12-16 LUGLIO 2021,29,"TC del rachide e dello speco vertebrale lombosacrale",88.38.1,85,75,23,11,25,24,25,25
160114,2021,12-16 LUGLIO 2021,30,"TC del rachide e dello speco vertebrale cervicale senza e con MDC",88.38.2,2,2,1,1,,,1,1
160114,2021,12-16 LUGLIO 2021,31,"TC del rachide e dello speco vertebrale toracico senza e con MDC",88.38.2,4,4,2,1,,,1,1
160114,2021,12-16 LUGLIO 2021,32,"TC del rachide e dello speco vertebrale lombosacrale senza e con MDC",88.38.2,12,11,5,2,2,1,3,3
160114,2021,12-16 LUGLIO 2021,33,"TC di Bacino e articolazioni sacroiliache",88.38.5,16,12,5,3,4,4,3,3
160114,2021,12-16 LUGLIO 2021,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",88.91.1,247,241,61,13,65,35,101,61
160114,2021,12-16 LUGLIO 2021,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",88.91.2,499,478,121,9,103,45,213,121
160114,2021,12-16 LUGLIO 2021,36,"RM di addome inferiore e scavo pelvico",88.95.4,46,43,12,4,16,13,12,9
160114,2021,12-16 LUGLIO 2021,37,"RM di addome inferiore e scavo pelvico senza e con MDC",88.95.5,211,202,57,7,55,22,67,50
160114,2021,12-16 LUGLIO 2021,38,"RM della colonna in toto",88.93,29,26,3,1,4,1,17,13
