"ASL","ANNO","SETTIMANA_INDICE","ID_PRESTAZIONE","DESC_PRESTAZIONE","COD_PRESTAZIONE","PRENOTAZIONI","PRENOTAZIONI_DAGARANTIRE","PRENOTAZIONI_DAGARANTIRE_B","PRENOTAZIONI_DAGARANTIRE_B_TMAX","PRENOTAZIONI_DAGARANTIRE_D","PRENOTAZIONI_DAGARANTIRE_D_TMAX","PRENOTAZIONI_DAGARANTIRE_P","PRENOTAZIONI_DAGARANTIRE_P_TMAX"
"160114","2023","09-13 GENNAIO 2023",1,"Prima Visita cardiologica","89.7",1671,1038,260,64,255,124,523,489
"160114","2023","09-13 GENNAIO 2023",2,"Prima Visita chirurgia vascolare","89.7",157,113,36,11,40,22,37,35
"160114","2023","09-13 GENNAIO 2023",3,"Prima Visita endocrinologica","89.7",703,466,110,35,140,59,216,196
"160114","2023","09-13 GENNAIO 2023",4,"Prima Visita neurologica","89.13",745,465,92,40,161,117,212,182
"160114","2023","09-13 GENNAIO 2023",5,"Prima Visita oculistica","95.02",1692,1236,244,51,308,124,684,659
"160114","2023","09-13 GENNAIO 2023",6,"Prima Visita ortopedica","89.7",1037,621,145,87,183,123,293,282
"160114","2023","09-13 GENNAIO 2023",7,"Prima Visita ginecologica","89.26",415,267,41,17,76,54,150,96
"160114","2023","09-13 GENNAIO 2023",8,"Prima Visita otorinolaringoiatrica","89.7",1101,794,216,50,204,117,374,357
"160114","2023","09-13 GENNAIO 2023",9,"Prima Visita urologica","89.7",530,400,132,16,122,26,146,133
"160114","2023","09-13 GENNAIO 2023",10,"Prima Visita dermatologica","89.7",971,698,156,46,224,129,318,261
"160114","2023","09-13 GENNAIO 2023",11,"Prima Visita fisiatrica","89.7",1041,835,141,126,279,270,415,411
"160114","2023","09-13 GENNAIO 2023",12,"Prima Visita gastroenterologica","89.7",166,146,52,12,47,9,47,33
"160114","2023","09-13 GENNAIO 2023",13,"Prima Visita oncologica","89.7",118,95,40,34,7,7,48,48
"160114","2023","09-13 GENNAIO 2023",14,"Prima Visita pneumologica","89.7",472,352,103,19,122,42,127,119
"160114","2023","09-13 GENNAIO 2023",15,"Mammografia bilaterale","87.37.1",515,384,53,27,67,42,264,168
"160114","2023","09-13 GENNAIO 2023",16,"Mammografia monolaterale","87.37.2",15,5,,,2,1,3,1
