"prestazione","classe_priorita","Tempo mediano di attesa(gg)","N. prestazioni prenotate","performance"
" VISITA CARDIOLOGIA","B",8,951,"0.96"
" VISITA CARDIOLOGIA","D",29,1945,"0.74"
" VISITA CARDIOLOGIA","P",40,605,"0.95"
" VISITA CHIRURGIA VASCOLARE","B",9,95,"0.75"
" VISITA CHIRURGIA VASCOLARE","D",29,199,"0.69"
" VISITA CHIRURGIA VASCOLARE","P",82.5,74,"0.88"
" VISITA DERMATOLOGICA","B",11,1124,"0.45"
" VISITA DERMATOLOGICA","D",122,4988,"0.20"
" VISITA DERMATOLOGICA","P",92.5,400,"0.89"
" VISITA ENDOCRINOLOGICA","B",7,212,"0.94"
" VISITA ENDOCRINOLOGICA","D",86,1214,"0.35"
" VISITA ENDOCRINOLOGICA","P",112,117,"0.79"
" VISITA FISIATRICA","B",10,574,"0.64"
" VISITA FISIATRICA","D",152,2329,"0.22"
" VISITA FISIATRICA","P",168.5,562,"0.35"
" VISITA GASTROENTEROLOGICA","B",8,369,"0.75"
" VISITA GASTROENTEROLOGICA","D",109,1234,"0.31"
" VISITA GASTROENTEROLOGICA","P",85.5,112,"0.77"
" VISITA GINECOLOGICA   ","B",9,219,"0.84"
" VISITA GINECOLOGICA   ","D",30,764,"0.58"
" VISITA GINECOLOGICA   ","P",84,173,"0.76"
" VISITA NEUROLOGICA","B",9,477,"0.88"
" VISITA NEUROLOGICA","D",30,1249,"0.67"
" VISITA NEUROLOGICA","P",62,250,"0.96"
" VISITA OCULISTICA","B",8,823,"0.83"
" VISITA OCULISTICA","D",128,3488,"0.32"
" VISITA OCULISTICA","P",180,1909,"0.29"
" VISITA ONCOLOGICA","B",6,570,"0.90"
" VISITA ONCOLOGICA","D",70,537,"0.35"
" VISITA ONCOLOGICA","P",3.5,4,"1.00"
" VISITA ORTOPEDICA","B",10,1052,"0.66"
" VISITA ORTOPEDICA","D",31,1845,"0.50"
" VISITA ORTOPEDICA","P",21,161,"0.96"
" VISITA OTORINOLARINGOIATRICA","B",10,1612,"0.63"
" VISITA OTORINOLARINGOIATRICA","D",29,1603,"0.78"
" VISITA OTORINOLARINGOIATRICA","P",35,422,"1.00"
" VISITA PNEUMOLOGICA","B",8,284,"0.83"
" VISITA PNEUMOLOGICA","D",41,705,"0.43"
" VISITA PNEUMOLOGICA","P",32.5,88,"0.85"
" VISITA UROLOGICA","B",9,428,"0.69"
" VISITA UROLOGICA","D",37,1291,"0.47"
" VISITA UROLOGICA","P",121,468,"0.50"
"COLONSCOPIA TOTALE CON ENDOSCOPIO FLESSIBILE ","B",10,289,"0.58"
"COLONSCOPIA TOTALE CON ENDOSCOPIO FLESSIBILE ","D",193,1241,"0.23"
"COLONSCOPIA TOTALE CON ENDOSCOPIO FLESSIBILE ","P",266,1037,"0.14"
"DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO","B",9,318,"0.77"
"DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO","D",61,1359,"0.48"
"DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO","P",110,3,"1.00"
"ECO (COLOR) DOPPLERGRAFIA CARDIACA ","B",10,612,"0.74"
"ECO (COLOR) DOPPLERGRAFIA CARDIACA ","D",60,1642,"0.52"
"ECO (COLOR) DOPPLERGRAFIA CARDIACA ","P",121,603,"0.50"
"ECO (COLOR) DOPPLERGRAFIA DEI TRONCHI SOVRAAORTICI ","D",6,3,"1.00"
"ECOGRAFIA ADDOME COMPLETO ","B",11,3201,"0.45"
"ECOGRAFIA ADDOME COMPLETO ","D",10,17,"1.00"
"ECOGRAFIA ADDOME COMPLETO ","P",110,5,"1.00"
"ECOGRAFIA ADDOME INFERIORE ","B",10,349,"0.58"
"ECOGRAFIA ADDOME INFERIORE ","D",17,8,"1.00"
"ECOGRAFIA ADDOME INFERIORE ","P",48,1,"1.00"
"ECOGRAFIA ADDOME SUPERIORE","B",9,495,"0.68"
"ECOGRAFIA ADDOME SUPERIORE","D",51,27,"1.00"
"ECOGRAFIA BILATERALE DELLA MAMMELLA","B",9,291,"0.79"
"ECOGRAFIA BILATERALE DELLA MAMMELLA","D",30,287,"0.70"
"ECOGRAFIA BILATERALE DELLA MAMMELLA","P",193,361,"0.39"
"ECOGRAFIA GINECOLOGICA","B",8,261,"0.94"
"ECOGRAFIA GINECOLOGICA","D",59,745,"0.65"
"ECOGRAFIA GINECOLOGICA","P",119,99,"0.53"
"ECOGRAFIA MONOLATERALE DELLA MAMMELLA","B",14,31,"0.35"
"ECOGRAFIA MONOLATERALE DELLA MAMMELLA","D",13,13,"0.92"
"ECOGRAFIA MONOLATERALE DELLA MAMMELLA","P",55,1,"1.00"
"ECOGRAFIA OSTETRICA","B",7,146,"0.97"
"ECOGRAFIA OSTETRICA","D",26,6,"0.83"
"ELETTROCARDIOGRAMMA","B",6,274,"1.00"
"ELETTROCARDIOGRAMMA","D",8,640,"0.98"
"ELETTROCARDIOGRAMMA","P",6,146,"1.00"
"ELETTROCARDIOGRAMMA DINAMICO (HOLTER)","B",8,270,"0.88"
"ELETTROCARDIOGRAMMA DINAMICO (HOLTER)","D",42.5,294,"0.94"
"ELETTROCARDIOGRAMMA DINAMICO (HOLTER)","P",3,2,"1.00"
"ESAME AUDIOMETRICO TONALE","B",6,107,"0.93"
"ESAME AUDIOMETRICO TONALE","D",17,848,"0.99"
"ESOFAGOGASTRODUODENOSCOPIA","B",7,209,"1.00"
"ESOFAGOGASTRODUODENOSCOPIA","D",56,653,"0.91"
"ESOFAGOGASTRODUODENOSCOPIA","P",97,185,"0.93"
"ESOFAGOGASTRODUODENOSCOPIA CON BIOPSIA IN SEDE UNICA","B",7,19,"0.95"
"ESOFAGOGASTRODUODENOSCOPIA CON BIOPSIA IN SEDE UNICA","D",56,49,"0.96"
"ESOFAGOGASTRODUODENOSCOPIA CON BIOPSIA IN SEDE UNICA","P",63,19,"0.95"
"FOTOGRAFIA DEL FUNDUS","B",12,1,"0.00"
"FOTOGRAFIA DEL FUNDUS","D",0,1,"1.00"
"MAMMOGRAFIA BILATERALE ","B",9,251,"0.82"
"MAMMOGRAFIA BILATERALE ","D",30,250,"0.66"
"MAMMOGRAFIA BILATERALE ","P",199,343,"0.38"
"MAMMOGRAFIA MONOLATERALE","B",49,1,"0.00"
"MAMMOGRAFIA MONOLATERALE","D",0,6,"1.00"
"POLIPECTOMIA INTESTINO CRASSO IN CORSO DI ENDOSCOPIA SEDE UNICA ","B",0,11,"1.00"
"POLIPECTOMIA INTESTINO CRASSO IN CORSO DI ENDOSCOPIA SEDE UNICA ","D",0,13,"1.00"
"POLIPECTOMIA INTESTINO CRASSO IN CORSO DI ENDOSCOPIA SEDE UNICA ","P",0,20,"1.00"
"RM DELLA COLONNA IN TOTO","B",7,910,"0.90"
"RM DELLA COLONNA IN TOTO","D",35,1200,"0.86"
"RM DELLA COLONNA IN TOTO SENZA E CON MDC ","B",10.5,112,"0.50"
"RM DELLA COLONNA IN TOTO SENZA E CON MDC ","D",248,3,"0.33"
"RM DELLA COLONNA IN TOTO SENZA E CON MDC ","P",36,4,"0.75"
"RM DI ADDOME INFERIORE E SCAVO PELVICO ","B",7,29,"0.90"
"RM DI ADDOME INFERIORE E SCAVO PELVICO ","D",39,44,"0.84"
"RM DI ADDOME INFERIORE E SCAVO PELVICO ","P",0,1,"1.00"
"RM DI ADDOME INFERIORE E SCAVO PELVICO SENZA E CON MDC","B",16,129,"0.33"
"RM DI ADDOME INFERIORE E SCAVO PELVICO SENZA E CON MDC","D",60.5,110,"0.50"
"RM DI ADDOME INFERIORE E SCAVO PELVICO SENZA E CON MDC","P",32,1,"1.00"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE","B",8,220,"0.89"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE","D",51,466,"0.81"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE","P",65,59,"0.69"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE SENZA E CON MDC","B",10,96,"0.57"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE SENZA E CON MDC","D",62.5,260,"0.49"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE SENZA E CON MDC","P",116.5,72,"0.58"
"SPIROMETRIA GLOBALE","B",8,90,"0.93"
"SPIROMETRIA GLOBALE","D",58,299,"0.79"
"SPIROMETRIA GLOBALE","P",50.5,16,"0.81"
"SPIROMETRIA SEMPLICE ","B",7,37,"0.89"
"SPIROMETRIA SEMPLICE ","D",10.5,198,"0.95"
"SPIROMETRIA SEMPLICE ","P",9,33,"1.00"
"TC ADDOME COMPLETO ","B",8.5,52,"0.75"
"TC ADDOME COMPLETO ","D",23.5,66,"0.88"
"TC ADDOME COMPLETO SENZA E CON MDC","B",10,242,"0.60"
"TC ADDOME COMPLETO SENZA E CON MDC","D",62,182,"0.47"
"TC ADDOME COMPLETO SENZA E CON MDC","P",0,1,"1.00"
"TC ADDOME INFERIORE ","B",8,7,"0.86"
"TC ADDOME INFERIORE ","D",20.5,10,"0.60"
"TC ADDOME INFERIORE SENZA E CON MDC ","B",3,15,"0.73"
"TC ADDOME INFERIORE SENZA E CON MDC ","D",66,11,"0.45"
"TC ADDOME SUPERIORE ","B",7,7,"0.86"
"TC ADDOME SUPERIORE SENZA E CON MDC","B",10,21,"0.57"
"TC ADDOME SUPERIORE SENZA E CON MDC","D",54.5,12,"0.67"
"TC CRANIO - ENCEFALO ","B",7,199,"0.93"
"TC CRANIO - ENCEFALO ","D",30,215,"0.98"
"TC CRANIO - ENCEFALO SENZA E CON MDC ","B",12,6,"0.50"
"TC CRANIO - ENCEFALO SENZA E CON MDC ","D",47,43,"0.79"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE ","B",7,99,"0.90"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE ","D",15,101,"0.87"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE ","P",0,4,"1.00"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE  SENZA E CON MDC","B",11.5,8,"0.50"
"TC DEL TORACE ","B",2.5,4,"1.00"
"TC DEL TORACE ","D",49,523,"0.75"
"TC DEL TORACE SENZA E CON MDC","B",10,194,"0.58"
"TC DEL TORACE SENZA E CON MDC","D",61,131,"0.50"
"TC DI BACINO E ARTICOLAZIONI SACROILIACHE ","B",8,21,"0.90"
"TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO O CON PEDANA MOBILE ","B",8,3,"1.00"
"TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO O CON PEDANA MOBILE ","D",35,1,"1.00"
