"prestazione","classe_priorita","Tempo mediano di attesa(gg)","N. prestazioni prenotate","performance"
" VISITA CARDIOLOGIA","B",9,14448,"0.74"
" VISITA CARDIOLOGIA","D",30,31849,"0.52"
" VISITA CARDIOLOGIA","P",62,11080,"0.74"
" VISITA CHIRURGIA VASCOLARE","B",7,1439,"0.83"
" VISITA CHIRURGIA VASCOLARE","D",28,2529,"0.65"
" VISITA CHIRURGIA VASCOLARE","P",31,944,"0.88"
" VISITA DERMATOLOGICA","B",12,14294,"0.45"
" VISITA DERMATOLOGICA","D",83,41787,"0.25"
" VISITA DERMATOLOGICA","P",113,5699,"0.69"
" VISITA ENDOCRINOLOGICA","B",7,3098,"0.89"
" VISITA ENDOCRINOLOGICA","D",37,12253,"0.39"
" VISITA ENDOCRINOLOGICA","P",115,1947,"0.70"
" VISITA FISIATRICA","B",10,9351,"0.54"
" VISITA FISIATRICA","D",45,17687,"0.35"
" VISITA FISIATRICA","P",116,5468,"0.54"
" VISITA GASTROENTEROLOGICA","B",10,4962,"0.61"
" VISITA GASTROENTEROLOGICA","D",39,10412,"0.43"
" VISITA GASTROENTEROLOGICA","P",83,1645,"0.60"
" VISITA GINECOLOGICA   ","B",9,3320,"0.75"
" VISITA GINECOLOGICA   ","D",35,9084,"0.43"
" VISITA GINECOLOGICA   ","P",90.5,2296,"0.67"
" VISITA NEUROLOGICA","B",9,5794,"0.78"
" VISITA NEUROLOGICA","D",30,19247,"0.54"
" VISITA NEUROLOGICA","P",70,2937,"0.82"
" VISITA OCULISTICA","B",9,11055,"0.73"
" VISITA OCULISTICA","D",75,45019,"0.26"
" VISITA OCULISTICA","P",146,17500,"0.40"
" VISITA ONCOLOGICA","B",7,7883,"0.78"
" VISITA ONCOLOGICA","D",43,4780,"0.36"
" VISITA ONCOLOGICA","P",4,52,"1.00"
" VISITA ORTOPEDICA","B",8,12752,"0.82"
" VISITA ORTOPEDICA","D",28,25498,"0.66"
" VISITA ORTOPEDICA","P",20,2656,"0.99"
" VISITA OTORINOLARINGOIATRICA","B",9,22804,"0.73"
" VISITA OTORINOLARINGOIATRICA","D",29,22789,"0.72"
" VISITA OTORINOLARINGOIATRICA","P",35,6758,"0.97"
" VISITA PNEUMOLOGICA","B",10,4616,"0.60"
" VISITA PNEUMOLOGICA","D",65,9805,"0.30"
" VISITA PNEUMOLOGICA","P",105,1552,"0.58"
" VISITA UROLOGICA","B",10,6473,"0.61"
" VISITA UROLOGICA","D",30,13037,"0.57"
" VISITA UROLOGICA","P",104,4769,"0.67"
"ALTRI TEST CARDIOVASCOLARI DA SFORZO","D",0,1,"1.00"
"COLONSCOPIA TOTALE CON ENDOSCOPIO FLESSIBILE ","B",13,4189,"0.35"
"COLONSCOPIA TOTALE CON ENDOSCOPIO FLESSIBILE ","D",127,9797,"0.28"
"COLONSCOPIA TOTALE CON ENDOSCOPIO FLESSIBILE ","P",247,7901,"0.24"
"DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO","B",10,5339,"0.60"
"DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO","D",75,18526,"0.41"
"DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO","P",26.5,88,"0.89"
"ECO (COLOR) DOPPLERGRAFIA CARDIACA ","B",10,8334,"0.66"
"ECO (COLOR) DOPPLERGRAFIA CARDIACA ","D",60,20528,"0.50"
"ECO (COLOR) DOPPLERGRAFIA CARDIACA ","P",114,7576,"0.55"
"ECO (COLOR) DOPPLERGRAFIA DEI TRONCHI SOVRAAORTICI ","B",9,16,"0.75"
"ECO (COLOR) DOPPLERGRAFIA DEI TRONCHI SOVRAAORTICI ","D",58,307,"0.62"
"ECO (COLOR) DOPPLERGRAFIA DEI TRONCHI SOVRAAORTICI ","P",134,543,"0.35"
"ECOCOLOR DOPPLER DEGLI ARTI INFERIORI ARTERIOSO E/O VENOSO ","B",8,58,"0.81"
"ECOCOLOR DOPPLER DEGLI ARTI INFERIORI ARTERIOSO E/O VENOSO ","D",64,55,"0.44"
"ECOCOLOR DOPPLER DEGLI ARTI INFERIORI ARTERIOSO E/O VENOSO ","P",131,18,"0.39"
"ECOGRAFIA ADDOME COMPLETO ","B",12,41935,"0.41"
"ECOGRAFIA ADDOME COMPLETO ","D",28,261,"0.64"
"ECOGRAFIA ADDOME COMPLETO ","P",93.5,98,"0.68"
"ECOGRAFIA ADDOME INFERIORE ","B",12,6297,"0.45"
