CODICE STS,DESCRIZIONE STS,CODICE CATALOGO,DESCRZIONE CATALOGO,GG ATTESA MEDI,MESE,ANNO
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,14,1,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,15,2,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,35,3,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,36,4,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,15,5,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,92,6,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,78,7,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,71,8,2024
000253,VILLADOSSOLA,897.14,Visita otorinolaringoiatrica,71,9,2024
000253,VILLADOSSOLA,897.18,Visita urologica,6,1,2024
000253,VILLADOSSOLA,897.18,Visita urologica,7,2,2024
000253,VILLADOSSOLA,897.18,Visita urologica,6,3,2024
000253,VILLADOSSOLA,897.18,Visita urologica,7,4,2024
000253,VILLADOSSOLA,897.18,Visita urologica,8,5,2024
000253,VILLADOSSOLA,897.18,Visita urologica,7,6,2024
000253,VILLADOSSOLA,897.18,Visita urologica,1,7,2024
000253,VILLADOSSOLA,897.18,Visita urologica,7,8,2024
000253,VILLADOSSOLA,897.18,Visita urologica,7,9,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,148,1,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,156,2,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,148,3,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,135,4,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,156,5,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,177,6,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,191,7,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,191,8,2024
000253,VILLADOSSOLA,897.19,Visita dermatologica,170,9,2024
000254,STRESA,897.18,Visita urologica,16,1,2024
