Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/07/2022;17,5;31
Abbadia S.Salvatore;02/07/2022;18,6;30,9
Abbadia S.Salvatore;03/07/2022;21,1;34,1
Abbadia S.Salvatore;04/07/2022;23,2;35,2
Abbadia S.Salvatore;05/07/2022;21,3;31,4
Abbadia S.Salvatore;06/07/2022;19,7;32,7
Abbadia S.Salvatore;07/07/2022;13,8;30
Abbadia S.Salvatore;08/07/2022;13,3;22,6
Abbadia S.Salvatore;09/07/2022;14,1;23,5
Abbadia S.Salvatore;10/07/2022;14,3;26,4
Abbadia S.Salvatore;11/07/2022;16,1;29,7
Abbadia S.Salvatore;12/07/2022;17,1;29,1
Abbadia S.Salvatore;13/07/2022;16,9;28,3
Abbadia S.Salvatore;14/07/2022;17;32,4
Abbadia S.Salvatore;15/07/2022;18,6;31,3
Abbadia S.Salvatore;16/07/2022;18,5;33,8
Abbadia S.Salvatore;17/07/2022;19,6;35,5
Abbadia S.Salvatore;18/07/2022;19,7;32,4
Abbadia S.Salvatore;19/07/2022;19,2;31,1
Abbadia S.Salvatore;20/07/2022;18,2;32,5
Abbadia S.Salvatore;21/07/2022;20,8;32,9
Abbadia S.Salvatore;22/07/2022;21,3;34,7
Abbadia S.Salvatore;23/07/2022;20,5;35,3
Abbadia S.Salvatore;24/07/2022;19,9;34,3
Abbadia S.Salvatore;25/07/2022;19,8;33,2
Abbadia S.Salvatore;26/07/2022;19,5;32,9
Abbadia S.Salvatore;27/07/2022;19,4;31,1
Abbadia S.Salvatore;28/07/2022;18,6;33,2
Abbadia S.Salvatore;29/07/2022;19,1;32,7
Abbadia S.Salvatore;30/07/2022;18;29,2
Abbadia S.Salvatore;31/07/2022;19,2;29,2
Abbazia Trisulti;01/07/2022;20;33,2
Abbazia Trisulti;02/07/2022;20,2;33,9
Abbazia Trisulti;03/07/2022;21,6;34,2
Abbazia Trisulti;04/07/2022;22,2;33,9
Abbazia Trisulti;05/07/2022;21,8;32,9
Abbazia Trisulti;06/07/2022;20,1;33,3
Abbazia Trisulti;07/07/2022;15,6;30,2
Abbazia Trisulti;08/07/2022;13,7;24,6
Abbazia Trisulti;09/07/2022;16,4;26,9
Abbazia Trisulti;10/07/2022;16,1;26,5
Abbazia Trisulti;11/07/2022;15,5;26,1
Abbazia Trisulti;12/07/2022;17,1;28
Abbazia Trisulti;13/07/2022;17,2;27,7
Abbazia Trisulti;14/07/2022;16,1;30,2
Abbazia Trisulti;15/07/2022;18,3;32,1
Abbazia Trisulti;16/07/2022;21,4;32,7
Abbazia Trisulti;17/07/2022;21,9;34,6
Abbazia Trisulti;18/07/2022;17,6;31,3
Abbazia Trisulti;19/07/2022;20,1;31,9
Abbazia Trisulti;20/07/2022;20,2;32,3
Abbazia Trisulti;21/07/2022;21,5;33
Abbazia Trisulti;22/07/2022;22;33,8
Abbazia Trisulti;23/07/2022;22,4;33,9
Abbazia Trisulti;24/07/2022;21,2;33,7
Abbazia Trisulti;25/07/2022;21;33,8
Abbazia Trisulti;26/07/2022;20,2;32,7
Abbazia Trisulti;27/07/2022;19,6;31,1
Abbazia Trisulti;28/07/2022;19,4;30
Abbazia Trisulti;29/07/2022;18;31,9
Abbazia Trisulti;30/07/2022;19;29,3
Abbazia Trisulti;31/07/2022;18,3;29,6
